IDDIST,NOMBDEP,NOMBPROV,NOMBDIST,NOM_CAPITAL (LEGAL),COD_REG_NAT,REGION NATURAL
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,SAN FRANCISCO DEL YESO,2,SIERRA
010518,AMAZONAS,LUYA,SAN JERONIMO,PACLAS,2,SIERRA
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,SAN JUAN DE LOPECANCHA,2,SIERRA
010520,AMAZONAS,LUYA,SANTA CATALINA,SANTA CATALINA,2,SIERRA
010521,AMAZONAS,LUYA,SANTO TOMAS,SANTO TOMAS,2,SIERRA
010522,AMAZONAS,LUYA,TINGO,TINGO,3,SELVA ALTA
010523,AMAZONAS,LUYA,TRITA,TRITA,2,SIERRA
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,MENDOZA,3,SELVA ALTA
010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,CHIRIMOTO,3,SELVA ALTA
010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,COCHAMAL,3,SELVA ALTA
010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,HUAMBO,3,SELVA ALTA
010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,LIMABAMBA,3,SELVA ALTA
010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,LONGAR,3,SELVA ALTA
010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,MARISCAL BENAVIDES,3,SELVA ALTA
010608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,MILPUC,3,SELVA ALTA
010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,OMIA,3,SELVA ALTA
010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,SANTA ROSA DE HUAYABAMBA,3,SELVA ALTA
010611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,TOTORA,3,SELVA ALTA
010612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,VISTA ALEGRE,3,SELVA ALTA
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,BAGUA GRANDE,4,SELVA BAJA
010702,AMAZONAS,UTCUBAMBA,CAJARURO,CAJARURO,4,SELVA BAJA
010703,AMAZONAS,UTCUBAMBA,CUMBA,CUMBA,4,SELVA BAJA
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,EL MILAGRO,4,SELVA BAJA
010705,AMAZONAS,UTCUBAMBA,JAMALCA,JAMALCA,3,SELVA ALTA
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,LONYA GRANDE,3,SELVA ALTA
010707,AMAZONAS,UTCUBAMBA,YAMON,YAMON,3,SELVA ALTA
020101,ANCASH,HUARAZ,HUARAZ,HUARAZ,2,SIERRA
020102,ANCASH,HUARAZ,COCHABAMBA,COCHABAMBA,2,SIERRA
020103,ANCASH,HUARAZ,COLCABAMBA,COLCABAMBA,2,SIERRA
020104,ANCASH,HUARAZ,HUANCHAY,HUANCHAY,2,SIERRA
020105,ANCASH,HUARAZ,INDEPENDENCIA,CENTENARIO,2,SIERRA
020106,ANCASH,HUARAZ,JANGAS,JANGAS,2,SIERRA
020107,ANCASH,HUARAZ,LA LIBERTAD,CAJAMARQUILLA,2,SIERRA
020108,ANCASH,HUARAZ,OLLEROS,OLLEROS,2,SIERRA
020109,ANCASH,HUARAZ,PAMPAS GRANDE,PAMPAS GRANDE,2,SIERRA
020110,ANCASH,HUARAZ,PARIACOTO,PARIACOTO,1,COSTA
020111,ANCASH,HUARAZ,PIRA,PIRA,2,SIERRA
020112,ANCASH,HUARAZ,TARICA,TARICA,2,SIERRA
020201,ANCASH,AIJA,AIJA,AIJA,2,SIERRA
020202,ANCASH,AIJA,CORIS,CORIS,2,SIERRA
020203,ANCASH,AIJA,HUACLLAN,HUACLLAN,2,SIERRA
020204,ANCASH,AIJA,LA MERCED,LA MERCED,2,SIERRA
020205,ANCASH,AIJA,SUCCHA,SUCCHA,2,SIERRA
020301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,LLAMELLIN,2,SIERRA
020302,ANCASH,ANTONIO RAYMONDI,ACZO,ACZO,2,SIERRA
020303,ANCASH,ANTONIO RAYMONDI,CHACCHO,CHACCHO,2,SIERRA
020304,ANCASH,ANTONIO RAYMONDI,CHINGAS,CHINGAS,2,SIERRA
020305,ANCASH,ANTONIO RAYMONDI,MIRGAS,MIRGAS,2,SIERRA
020306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,SAN JUAN DE RONTOY,2,SIERRA
020401,ANCASH,ASUNCION,CHACAS,CHACAS,2,SIERRA
020402,ANCASH,ASUNCION,ACOCHACA,ACOCHACA,2,SIERRA
020501,ANCASH,BOLOGNESI,CHIQUIAN,CHIQUIAN,2,SIERRA
020502,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,LLACLLA,2,SIERRA
020503,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,RAQUIA,2,SIERRA
020504,ANCASH,BOLOGNESI,AQUIA,AQUIA,2,SIERRA
020505,ANCASH,BOLOGNESI,CAJACAY,CAJACAY,2,SIERRA
020506,ANCASH,BOLOGNESI,CANIS,CANIS,2,SIERRA
020507,ANCASH,BOLOGNESI,COLQUIOC,CHASQUITAMBO,1,COSTA
020508,ANCASH,BOLOGNESI,HUALLANCA,HUALLANCA,2,SIERRA
020509,ANCASH,BOLOGNESI,HUASTA,HUASTA,2,SIERRA
020510,ANCASH,BOLOGNESI,HUAYLLACAYAN,HUAYLLACAYAN,2,SIERRA
020511,ANCASH,BOLOGNESI,LA PRIMAVERA,GORGORILLO,2,SIERRA
020512,ANCASH,BOLOGNESI,MANGAS,MANGAS,2,SIERRA
020513,ANCASH,BOLOGNESI,PACLLON,PACLLON,2,SIERRA
020514,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,CORPANQUI,2,SIERRA
020515,ANCASH,BOLOGNESI,TICLLOS,TICLLOS,2,SIERRA
020601,ANCASH,CARHUAZ,CARHUAZ,CARHUAZ,2,SIERRA
020602,ANCASH,CARHUAZ,ACOPAMPA,ACOPAMPA,2,SIERRA
020603,ANCASH,CARHUAZ,AMASHCA,AMASHCA,2,SIERRA
020604,ANCASH,CARHUAZ,ANTA,ANTA,2,SIERRA
020605,ANCASH,CARHUAZ,ATAQUERO,CARHUAC,2,SIERRA
020606,ANCASH,CARHUAZ,MARCARA,MARCARA,2,SIERRA
020607,ANCASH,CARHUAZ,PARIAHUANCA,PARIAHUANCA,2,SIERRA
020608,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,ACO,2,SIERRA
020609,ANCASH,CARHUAZ,SHILLA,SHILLA,2,SIERRA
020610,ANCASH,CARHUAZ,TINCO,TINCO,2,SIERRA
020611,ANCASH,CARHUAZ,YUNGAR,YUNGAR,2,SIERRA
020701,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,SAN LUIS,2,SIERRA
020702,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,SAN NICOLAS,2,SIERRA
020703,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,YAUYA,2,SIERRA
020801,ANCASH,CASMA,CASMA,CASMA,1,COSTA
020802,ANCASH,CASMA,BUENA VISTA ALTA,BUENA VISTA ALTA,1,COSTA
020803,ANCASH,CASMA,COMANDANTE NOEL,PUERTO CASMA,1,COSTA
020804,ANCASH,CASMA,YAUTAN,YAUTAN,1,COSTA
020901,ANCASH,CORONGO,CORONGO,CORONGO,2,SIERRA
020902,ANCASH,CORONGO,ACO,ACO,2,SIERRA
020903,ANCASH,CORONGO,BAMBAS,BAMBAS,2,SIERRA
020904,ANCASH,CORONGO,CUSCA,CUSCA,2,SIERRA
020905,ANCASH,CORONGO,LA PAMPA,LA PAMPA,1,COSTA
020906,ANCASH,CORONGO,YANAC,YANAC,2,SIERRA
020907,ANCASH,CORONGO,YUPAN,YUPAN,2,SIERRA
021001,ANCASH,HUARI,HUARI,HUARI,2,SIERRA
021002,ANCASH,HUARI,ANRA,ANRA,2,SIERRA
021003,ANCASH,HUARI,CAJAY,CAJAY,2,SIERRA
021004,ANCASH,HUARI,CHAVIN DE HUANTAR,CHAVIN DE HUANTAR,2,SIERRA
021005,ANCASH,HUARI,HUACACHI,HUACACHI,2,SIERRA
021006,ANCASH,HUARI,HUACCHIS,HUACCHIS,2,SIERRA
021007,ANCASH,HUARI,HUACHIS,HUACHIS,2,SIERRA
021008,ANCASH,HUARI,HUANTAR,HUANTAR,2,SIERRA
021009,ANCASH,HUARI,MASIN,MASIN,2,SIERRA
021010,ANCASH,HUARI,PAUCAS,PAUCAS,2,SIERRA
021011,ANCASH,HUARI,PONTO,PONTO,2,SIERRA
021012,ANCASH,HUARI,RAHUAPAMPA,RAHUAPAMPA,2,SIERRA
021013,ANCASH,HUARI,RAPAYAN,RAPAYAN,2,SIERRA
021014,ANCASH,HUARI,SAN MARCOS,SAN MARCOS,2,SIERRA
021015,ANCASH,HUARI,SAN PEDRO DE CHANA,CHANA,2,SIERRA
021016,ANCASH,HUARI,UCO,UCO,2,SIERRA
021101,ANCASH,HUARMEY,HUARMEY,HUARMEY,1,COSTA
021102,ANCASH,HUARMEY,COCHAPETI,COCHAPETI,2,SIERRA
021103,ANCASH,HUARMEY,CULEBRAS,LA CALETA CULEBRAS,1,COSTA
021104,ANCASH,HUARMEY,HUAYAN,HUAYAN,2,SIERRA
021105,ANCASH,HUARMEY,MALVAS,MALVAS,2,SIERRA
021201,ANCASH,HUAYLAS,CARAZ,CARAZ,2,SIERRA
021202,ANCASH,HUAYLAS,HUALLANCA,HUALLANCA,1,COSTA
021203,ANCASH,HUAYLAS,HUATA,HUATA,2,SIERRA
021204,ANCASH,HUAYLAS,HUAYLAS,HUAYLAS,2,SIERRA
021205,ANCASH,HUAYLAS,MATO,SUCRE,2,SIERRA
021206,ANCASH,HUAYLAS,PAMPAROMAS,PAMPAROMAS,2,SIERRA
021207,ANCASH,HUAYLAS,PUEBLO LIBRE,SAN JUAN /1,2,SIERRA
021208,ANCASH,HUAYLAS,SANTA CRUZ,HUARIPAMPA,2,SIERRA
021209,ANCASH,HUAYLAS,SANTO TORIBIO,SANTO TORIBIO,2,SIERRA
021210,ANCASH,HUAYLAS,YURACMARCA,YURACMARCA,1,COSTA
021301,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,PISCOBAMBA,2,SIERRA
021302,ANCASH,MARISCAL LUZURIAGA,CASCA,CASCA,2,SIERRA
021303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,PAMPACHACRA,2,SIERRA
021304,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,SANACHGAN,2,SIERRA
021305,ANCASH,MARISCAL LUZURIAGA,LLAMA,LLAMA,2,SIERRA
021306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,LLUMPA,2,SIERRA
021307,ANCASH,MARISCAL LUZURIAGA,LUCMA,LUCMA,2,SIERRA
021308,ANCASH,MARISCAL LUZURIAGA,MUSGA,MUSGA,2,SIERRA
021401,ANCASH,OCROS,OCROS,OCROS,2,SIERRA
021402,ANCASH,OCROS,ACAS,ACAS,2,SIERRA
021403,ANCASH,OCROS,CAJAMARQUILLA,CAJAMARQUILLA,2,SIERRA
021404,ANCASH,OCROS,CARHUAPAMPA,ACO,2,SIERRA
021405,ANCASH,OCROS,COCHAS,HUANCHAY,1,COSTA
021406,ANCASH,OCROS,CONGAS,CONGAS,2,SIERRA
021407,ANCASH,OCROS,LLIPA,LLIPA,2,SIERRA
021408,ANCASH,OCROS,SAN CRISTOBAL DE RAJAN,RAJAN,2,SIERRA
021409,ANCASH,OCROS,SAN PEDRO,COPA,2,SIERRA
021410,ANCASH,OCROS,SANTIAGO DE CHILCAS,SANTIAGO DE CHILCAS,2,SIERRA
021501,ANCASH,PALLASCA,CABANA,CABANA,2,SIERRA
021502,ANCASH,PALLASCA,BOLOGNESI,BOLOGNESI,2,SIERRA
021503,ANCASH,PALLASCA,CONCHUCOS,CONCHUCOS,2,SIERRA
021504,ANCASH,PALLASCA,HUACASCHUQUE,HUACASCHUQUE,2,SIERRA
021505,ANCASH,PALLASCA,HUANDOVAL,HUANDOVAL,2,SIERRA
021506,ANCASH,PALLASCA,LACABAMBA,LACABAMBA,2,SIERRA
021507,ANCASH,PALLASCA,LLAPO,LLAPO,2,SIERRA
021508,ANCASH,PALLASCA,PALLASCA,PALLASCA,2,SIERRA
021509,ANCASH,PALLASCA,PAMPAS,PAMPAS,2,SIERRA
021510,ANCASH,PALLASCA,SANTA ROSA,SANTA ROSA,2,SIERRA
021511,ANCASH,PALLASCA,TAUCA,TAUCA,2,SIERRA
021601,ANCASH,POMABAMBA,POMABAMBA,POMABAMBA,2,SIERRA
021602,ANCASH,POMABAMBA,HUAYLLAN,HUAYLLAN,2,SIERRA
021603,ANCASH,POMABAMBA,PAROBAMBA,PAROBAMBA,2,SIERRA
021604,ANCASH,POMABAMBA,QUINUABAMBA,QUINUABAMBA,2,SIERRA
021701,ANCASH,RECUAY,RECUAY,RECUAY,2,SIERRA
021702,ANCASH,RECUAY,CATAC,CATAC,2,SIERRA
021703,ANCASH,RECUAY,COTAPARACO,COTAPARACO,2,SIERRA
021704,ANCASH,RECUAY,HUAYLLAPAMPA,HUAYLLAPAMPA,2,SIERRA
021705,ANCASH,RECUAY,LLACLLIN,LLACLLIN,2,SIERRA
021706,ANCASH,RECUAY,MARCA,MARCA,2,SIERRA
021707,ANCASH,RECUAY,PAMPAS CHICO,PAMPAS CHICO,2,SIERRA
021708,ANCASH,RECUAY,PARARIN,PARARIN,2,SIERRA
021709,ANCASH,RECUAY,TAPACOCHA,TAPACOCHA,2,SIERRA
021710,ANCASH,RECUAY,TICAPAMPA,TICAPAMPA,2,SIERRA
021801,ANCASH,SANTA,CHIMBOTE,CHIMBOTE,1,COSTA
021802,ANCASH,SANTA,CACERES DEL PERU,JIMBE,1,COSTA
021803,ANCASH,SANTA,COISHCO,COISHCO,1,COSTA
021804,ANCASH,SANTA,MACATE,MACATE,2,SIERRA
021805,ANCASH,SANTA,MORO,MORO,1,COSTA
021806,ANCASH,SANTA,NEPEÑA,NEPEÑA,1,COSTA
021807,ANCASH,SANTA,SAMANCO,SAMANCO,1,COSTA
021808,ANCASH,SANTA,SANTA,SANTA,1,COSTA
021809,ANCASH,SANTA,NUEVO CHIMBOTE,BUENOS AIRES,1,COSTA
021901,ANCASH,SIHUAS,SIHUAS,SIHUAS,2,SIERRA
021902,ANCASH,SIHUAS,ACOBAMBA,ACOBAMBA,2,SIERRA
021903,ANCASH,SIHUAS,ALFONSO UGARTE,ULLULLUCO,2,SIERRA
021904,ANCASH,SIHUAS,CASHAPAMPA,CASHAPAMPA,2,SIERRA
021905,ANCASH,SIHUAS,CHINGALPO,CHINGALPO,2,SIERRA
021906,ANCASH,SIHUAS,HUAYLLABAMBA,HUAYLLABAMBA,2,SIERRA
021907,ANCASH,SIHUAS,QUICHES,QUICHES,2,SIERRA
021908,ANCASH,SIHUAS,RAGASH,RAGASH,2,SIERRA
021909,ANCASH,SIHUAS,SAN JUAN,CHULLIN,2,SIERRA
021910,ANCASH,SIHUAS,SICSIBAMBA,UMBE,2,SIERRA
022001,ANCASH,YUNGAY,YUNGAY,YUNGAY,2,SIERRA
022002,ANCASH,YUNGAY,CASCAPARA,CASCAPARA,2,SIERRA
022003,ANCASH,YUNGAY,MANCOS,MANCOS,2,SIERRA
022004,ANCASH,YUNGAY,MATACOTO,MATACOTO,2,SIERRA
022005,ANCASH,YUNGAY,QUILLO,QUILLO,1,COSTA
022006,ANCASH,YUNGAY,RANRAHIRCA,RANRAHIRCA,2,SIERRA
022007,ANCASH,YUNGAY,SHUPLUY,SHUPLUY,2,SIERRA
022008,ANCASH,YUNGAY,YANAMA,YANAMA,2,SIERRA
030101,APURIMAC,ABANCAY,ABANCAY,ABANCAY,2,SIERRA
030102,APURIMAC,ABANCAY,CHACOCHE,CHACOCHE,2,SIERRA
030103,APURIMAC,ABANCAY,CIRCA,CIRCA,2,SIERRA
030104,APURIMAC,ABANCAY,CURAHUASI,CURAHUASI,2,SIERRA
030105,APURIMAC,ABANCAY,HUANIPACA,HUANIPACA,2,SIERRA
030106,APURIMAC,ABANCAY,LAMBRAMA,LAMBRAMA,2,SIERRA
030107,APURIMAC,ABANCAY,PICHIRHUA,PICHIRHUA,2,SIERRA
030108,APURIMAC,ABANCAY,SAN PEDRO DE CACHORA,CACHORA,2,SIERRA
030109,APURIMAC,ABANCAY,TAMBURCO,TAMBURCO,2,SIERRA
030201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,2,SIERRA
030202,APURIMAC,ANDAHUAYLAS,ANDARAPA,ANDARAPA,2,SIERRA
030203,APURIMAC,ANDAHUAYLAS,CHIARA,CHIARA,2,SIERRA
030204,APURIMAC,ANDAHUAYLAS,HUANCARAMA,HUANCARAMA,2,SIERRA
030205,APURIMAC,ANDAHUAYLAS,HUANCARAY,HUANCARAY,2,SIERRA
030206,APURIMAC,ANDAHUAYLAS,HUAYANA,HUAYANA,2,SIERRA
030207,APURIMAC,ANDAHUAYLAS,KISHUARA,KISHUARA,2,SIERRA
030208,APURIMAC,ANDAHUAYLAS,PACOBAMBA,PACOBAMBA,2,SIERRA
030209,APURIMAC,ANDAHUAYLAS,PACUCHA,PACUCHA,2,SIERRA
030210,APURIMAC,ANDAHUAYLAS,PAMPACHIRI,PAMPACHIRI,2,SIERRA
030211,APURIMAC,ANDAHUAYLAS,POMACOCHA,POMACOCHA,2,SIERRA
030212,APURIMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,SAN ANTONIO DE CACHI,2,SIERRA
030213,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,SAN JERONIMO,2,SIERRA
030214,APURIMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,CHACCRAMPA,2,SIERRA
030215,APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,SANTA MARIA DE CHICMO,2,SIERRA
030216,APURIMAC,ANDAHUAYLAS,TALAVERA,TALAVERA,2,SIERRA
030217,APURIMAC,ANDAHUAYLAS,TUMAY HUARACA,UMAMARCA,2,SIERRA
030218,APURIMAC,ANDAHUAYLAS,TURPO,TURPO,2,SIERRA
030219,APURIMAC,ANDAHUAYLAS,KAQUIABAMBA,KAQUIABAMBA,2,SIERRA
030220,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,HUANCABAMBA,2,SIERRA
030301,APURIMAC,ANTABAMBA,ANTABAMBA,ANTABAMBA,2,SIERRA
030302,APURIMAC,ANTABAMBA,EL ORO,AYAHUAY,2,SIERRA
030303,APURIMAC,ANTABAMBA,HUAQUIRCA,HUAQUIRCA,2,SIERRA
030304,APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,MOLLEBAMBA,2,SIERRA
030305,APURIMAC,ANTABAMBA,OROPESA,OROPESA,2,SIERRA
030306,APURIMAC,ANTABAMBA,PACHACONAS,PACHACONAS,2,SIERRA
030307,APURIMAC,ANTABAMBA,SABAINO,SABAINO,2,SIERRA
030401,APURIMAC,AYMARAES,CHALHUANCA,CHALHUANCA,2,SIERRA
030402,APURIMAC,AYMARAES,CAPAYA,CAPAYA,2,SIERRA
030403,APURIMAC,AYMARAES,CARAYBAMBA,CARAYBAMBA,2,SIERRA
030404,APURIMAC,AYMARAES,CHAPIMARCA,CHAPIMARCA,2,SIERRA
030405,APURIMAC,AYMARAES,COLCABAMBA,COLCABAMBA,2,SIERRA
030406,APURIMAC,AYMARAES,COTARUSE,COTARUSE,2,SIERRA
030407,APURIMAC,AYMARAES,IHUAYLLO,IHUAYLLO,2,SIERRA
030408,APURIMAC,AYMARAES,JUSTO APU SAHUARAURA,PICHIHUA,2,SIERRA
030409,APURIMAC,AYMARAES,LUCRE,LUCRE,2,SIERRA
030410,APURIMAC,AYMARAES,POCOHUANCA,POCOHUANCA,2,SIERRA
030411,APURIMAC,AYMARAES,SAN JUAN DE CHACÑA,SAN JUAN DE CHACÑA,2,SIERRA
030412,APURIMAC,AYMARAES,SAÑAYCA,SAÑAYCA,2,SIERRA
030413,APURIMAC,AYMARAES,SORAYA,SORAYA,2,SIERRA
030414,APURIMAC,AYMARAES,TAPAIRIHUA,TAPAIRIHUA,2,SIERRA
030415,APURIMAC,AYMARAES,TINTAY,TINTAY,2,SIERRA
030416,APURIMAC,AYMARAES,TORAYA,TORAYA,2,SIERRA
030417,APURIMAC,AYMARAES,YANACA,YANACA,2,SIERRA
030501,APURIMAC,COTABAMBAS,TAMBOBAMBA,TAMBOBAMBA,2,SIERRA
030502,APURIMAC,COTABAMBAS,COTABAMBAS,COTABAMBAS,2,SIERRA
030503,APURIMAC,COTABAMBAS,COYLLURQUI,COYLLURQUI,2,SIERRA
030504,APURIMAC,COTABAMBAS,HAQUIRA,HAQUIRA,2,SIERRA
030505,APURIMAC,COTABAMBAS,MARA,MARA,2,SIERRA
030506,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,CHALLHUAHUACHO,2,SIERRA
030601,APURIMAC,CHINCHEROS,CHINCHEROS,CHINCHEROS,2,SIERRA
030602,APURIMAC,CHINCHEROS,ANCO_HUALLO,URIPA,2,SIERRA
030603,APURIMAC,CHINCHEROS,COCHARCAS,COCHARCAS,2,SIERRA
030604,APURIMAC,CHINCHEROS,HUACCANA,HUACCANA,2,SIERRA
030605,APURIMAC,CHINCHEROS,OCOBAMBA,OCOBAMBA,2,SIERRA
030606,APURIMAC,CHINCHEROS,ONGOY,ONGOY,2,SIERRA
030607,APURIMAC,CHINCHEROS,URANMARCA,URANMARCA,2,SIERRA
030608,APURIMAC,CHINCHEROS,RANRACANCHA,RANRACANCHA,2,SIERRA
030609,APURIMAC,CHINCHEROS,ROCCHACC,ROCCHACC,2,SIERRA
030610,APURIMAC,CHINCHEROS,EL PORVENIR,SAN PEDRO DE HUAMBURQUE,2,SIERRA
030611,APURIMAC,CHINCHEROS,LOS CHANKAS,RIO BLANCO,2,SIERRA
030612,APURIMAC,CHINCHEROS,AHUAYRO,AHUAYRO,2,SIERRA
030701,APURIMAC,GRAU,CHUQUIBAMBILLA,CHUQUIBAMBILLA,2,SIERRA
030702,APURIMAC,GRAU,CURPAHUASI,CURPAHUASI,2,SIERRA
