cod_pedido,cod_representante,cod_empleado,cod_pedido_tipo,cod_pedido_estado,fecha_registro,cod_ticket
94,363,374,V,P,2019-06-18,94
95,458,252,V,R,2022-12-01,95
96,611,172,V,F,2021-03-23,96
97,176,408,A,F,2023-03-11,97
98,73,229,V,P,2024-01-10,98
99,387,481,V,F,2022-07-19,99
100,274,325,A,R,2020-04-07,100
101,163,272,A,R,2021-07-11,101
102,89,479,A,P,2022-01-15,102
103,529,99,V,R,2023-12-21,103
104,605,392,V,F,2019-05-04,104
105,220,151,V,P,2020-12-16,105
106,275,349,V,P,2022-09-01,106
107,25,24,A,F,2019-07-24,107
108,322,187,V,P,2020-03-23,108
109,222,229,A,F,2024-04-04,109
110,2,458,A,A,2021-03-31,110
111,423,360,A,P,2024-03-31,111
112,535,101,A,R,2023-07-06,112
113,538,402,V,A,2020-07-14,113
114,248,332,A,A,2021-12-07,114
115,530,119,V,R,2021-12-17,115
116,119,473,V,F,2023-10-04,116
117,367,34,A,R,2019-11-20,117
118,318,133,A,A,2022-04-13,118
119,258,463,V,F,2020-08-10,119
120,405,393,A,P,2023-12-07,120
121,156,399,V,F,2023-10-01,121
122,386,480,A,A,2021-03-03,122
123,501,111,V,A,2022-08-01,123
124,49,148,V,A,2023-09-26,124
125,356,342,V,A,2021-08-12,125
126,618,148,V,A,2021-09-16,126
127,569,384,V,F,2020-07-16,127
128,508,282,A,F,2021-03-23,128
129,115,209,V,F,2022-06-12,129
130,171,366,V,A,2020-12-17,130
131,102,431,A,F,2022-11-06,131
132,199,169,A,R,2020-09-30,132
133,526,303,V,F,2019-11-03,133
134,93,452,V,P,2024-04-09,134
135,16,278,V,P,2020-05-04,135
136,357,205,A,P,2022-07-25,136
137,81,342,A,R,2021-08-29,137
138,409,401,A,A,2020-07-05,138
139,455,130,A,R,2023-12-01,139
140,133,472,A,A,2021-03-22,140
141,237,188,V,R,2019-01-30,141
142,588,376,A,R,2023-11-23,142
143,320,302,V,F,2023-04-08,143
144,168,199,A,P,2022-04-03,144
145,384,94,V,R,2020-12-12,145
146,552,144,A,F,2023-09-20,146
147,69,260,V,P,2019-01-10,147
148,294,281,A,R,2021-02-04,148
149,603,470,V,P,2019-04-19,149
150,344,403,V,P,2021-09-08,150
151,234,181,A,A,2022-05-09,151
152,28,304,A,R,2021-05-26,152
153,472,186,V,F,2023-10-26,153
154,503,44,A,P,2021-11-02,154
155,504,204,V,R,2022-12-21,155
156,231,139,V,A,2021-08-18,156
157,19,156,V,A,2023-11-02,157
158,11,296,A,P,2020-12-07,158
159,54,256,V,A,2019-06-04,159
160,307,432,V,F,2023-08-17,160
161,354,314,A,F,2019-04-13,161
162,183,295,A,F,2020-09-30,162
163,153,37,V,A,2021-05-30,163
164,90,329,V,P,2022-04-25,164
165,587,68,V,A,2022-08-23,165
166,444,277,V,P,2020-09-30,166
167,68,98,A,F,2019-05-06,167
168,539,380,V,F,2023-03-29,168
169,543,44,A,P,2022-08-28,169
170,188,66,A,F,2020-05-11,170
171,234,221,A,R,2021-02-05,171
172,388,74,V,F,2021-08-19,172
173,447,467,V,P,2020-01-06,173
174,250,103,A,F,2020-05-04,174
175,264,482,V,P,2022-03-25,175
176,266,346,A,P,2021-07-15,176
177,575,476,A,A,2019-04-06,177
178,455,111,V,F,2020-01-31,178
179,437,255,A,F,2021-10-26,179
180,302,326,V,A,2019-04-11,180
181,228,222,V,P,2022-09-10,181
182,222,84,V,F,2022-06-14,182
183,178,189,V,F,2024-04-08,183
184,455,259,A,A,2020-09-28,184
185,242,224,V,P,2019-03-28,185
186,465,406,V,A,2022-06-27,186
187,73,222,A,F,2022-08-16,187
188,144,60,V,F,2024-03-02,188
189,370,460,V,R,2024-04-21,189
190,290,39,A,F,2022-05-18,190
191,43,66,A,P,2023-03-13,191
192,61,129,V,P,2019-10-01,192
193,570,156,A,P,2021-02-10,193
194,587,289,V,F,2021-01-20,194
195,82,253,A,A,2023-02-05,195
196,348,338,V,A,2021-04-18,196
197,68,183,V,R,2024-04-21,197
198,16,207,V,P,2022-08-02,198
199,420,67,A,F,2021-12-23,199
200,544,352,A,P,2023-12-10,200
201,349,340,V,F,2024-01-09,201
202,378,392,A,F,2021-03-09,202
203,374,484,V,P,2023-05-30,203
204,284,71,A,F,2021-08-03,204
205,467,156,A,R,2020-05-15,205
206,607,482,A,F,2024-01-28,206
207,190,272,V,R,2021-01-20,207
208,490,233,V,F,2021-05-29,208
209,139,410,V,A,2021-05-02,209
210,5,224,V,R,2019-10-16,210
211,277,182,V,P,2023-01-29,211
212,399,172,A,A,2020-12-19,212
213,619,6,V,P,2021-07-10,213
214,135,474,V,F,2022-10-24,214
215,454,164,A,A,2023-12-05,215
216,398,369,V,A,2021-05-09,216
217,577,482,A,P,2019-04-19,217
218,197,390,A,R,2020-09-08,218
219,304,381,V,P,2023-08-10,219
220,416,252,V,A,2020-12-02,220
221,596,360,A,R,2020-05-03,221
222,266,191,A,R,2019-07-07,222
223,458,378,V,A,2020-10-13,223
224,438,456,V,R,2024-03-05,224
225,460,299,V,R,2019-07-20,225
226,173,440,A,F,2022-12-02,226
227,515,121,V,P,2024-05-22,227
228,387,498,V,R,2023-07-08,228
229,315,374,V,R,2020-09-09,229
230,356,413,V,R,2021-03-04,230
231,45,161,A,F,2023-01-17,231
232,352,463,A,P,2019-05-11,232
233,619,451,V,P,2022-09-04,233
234,168,32,A,P,2024-02-04,234
235,278,153,A,A,2022-02-18,235
236,34,63,V,A,2023-06-07,236
237,565,439,V,F,2023-11-14,237
238,353,345,V,A,2024-02-15,238
239,577,56,A,F,2019-10-09,239
240,201,311,A,P,2023-07-22,240
241,335,347,V,P,2019-05-13,241
242,532,262,V,A,2019-05-13,242
243,490,41,V,F,2022-10-18,243
244,7,409,A,A,2020-05-29,244
245,303,305,V,P,2021-02-01,245
246,97,310,A,F,2024-01-02,246
247,498,416,A,R,2023-03-31,247
248,70,243,A,R,2023-05-07,248
249,322,56,V,P,2019-03-03,249
250,247,362,A,R,2021-03-16,250
251,516,46,A,A,2019-08-03,251
252,351,103,V,R,2023-05-27,252
253,455,9,A,P,2021-06-18,253
254,485,347,A,A,2021-03-23,254
255,587,283,A,F,2023-09-27,255
256,158,499,A,R,2021-12-20,256
257,300,435,V,A,2020-10-23,257
258,346,360,A,F,2019-06-07,258
259,554,264,V,A,2022-02-04,259
260,259,150,A,R,2020-07-18,260
261,40,210,V,P,2020-12-10,261
262,522,476,A,A,2020-05-08,262
263,529,170,V,R,2019-01-07,263
264,333,151,V,F,2021-03-31,264
265,525,144,V,P,2021-01-23,265
266,63,160,A,P,2020-08-13,266
267,275,416,A,F,2022-01-27,267
268,405,42,V,R,2019-02-28,268
269,568,398,A,R,2022-02-01,269
270,353,194,A,R,2023-05-06,270
271,256,267,V,F,2024-01-03,271
272,200,188,A,F,2022-10-25,272
273,12,373,A,R,2021-02-01,273
274,95,307,A,P,2022-03-18,274
275,129,103,V,F,2020-07-09,275
276,347,311,V,A,2020-05-12,276
277,105,213,V,F,2020-05-27,277
278,539,272,A,R,2024-01-01,278
279,238,264,A,A,2023-05-01,279
280,105,124,A,P,2022-04-18,280
281,473,213,A,R,2022-11-29,281
282,14,91,A,F,2023-08-10,282
283,162,450,A,F,2022-09-16,283
284,568,215,A,P,2021-03-18,284
285,106,57,A,R,2020-04-19,285
286,177,66,A,P,2021-06-18,286
287,113,494,A,A,2022-04-28,287
288,296,97,A,P,2020-11-29,288
289,48,164,A,R,2021-06-20,289
290,150,312,V,R,2022-01-01,290
291,79,198,A,R,2021-03-26,291
292,400,319,V,R,2022-11-11,292
293,482,446,A,R,2023-05-24,293
294,568,359,V,F,2023-12-20,294
295,92,62,V,P,2019-08-04,295
296,504,479,V,P,2020-09-29,296
297,179,483,A,P,2020-06-20,297
298,272,248,V,P,2023-09-25,298
299,604,402,V,A,2023-10-10,299
300,448,34,V,R,2023-01-11,300
301,497,320,A,R,2019-03-24,301
302,541,201,V,A,2020-01-25,302
303,338,38,A,P,2024-05-04,303
304,324,150,A,F,2021-04-01,304
305,254,339,A,R,2022-03-29,305
306,331,397,A,F,2021-03-27,306
307,94,476,V,F,2022-04-28,307
308,401,396,V,R,2022-08-04,308
309,551,220,V,F,2019-12-20,309
310,92,292,V,P,2021-01-27,310
311,313,181,A,A,2021-03-04,311
312,502,442,A,A,2023-08-08,312
313,25,344,V,A,2021-09-06,313
314,32,140,A,R,2020-10-17,314
315,398,450,V,P,2022-07-10,315
316,426,302,V,R,2023-05-10,316
317,153,29,A,F,2019-07-05,317
318,268,296,V,R,2019-10-01,318
319,414,104,V,A,2023-06-01,319
320,94,27,A,R,2024-03-24,320
321,493,241,V,A,2023-10-31,321
322,55,197,A,A,2019-01-06,322
323,28,464,V,R,2024-01-23,323
324,568,309,A,F,2023-03-06,324
325,204,42,V,R,2023-07-26,325
326,533,487,A,P,2021-11-20,326
327,313,11,A,F,2021-01-04,327
328,35,280,V,P,2023-05-04,328
329,354,22,A,R,2020-04-05,329
330,8,234,A,P,2019-02-07,330
331,574,492,V,R,2024-04-21,331
332,607,440,V,R,2023-09-06,332
333,5,337,A,F,2024-03-15,333
334,92,405,V,F,2024-02-24,334
335,154,32,V,F,2020-09-17,335
336,70,90,V,F,2021-08-15,336
337,143,330,A,R,2022-09-21,337
338,315,356,A,R,2020-03-04,338
339,540,230,V,P,2021-11-14,339
340,114,469,A,R,2021-04-08,340
341,489,180,A,F,2024-01-07,341
342,451,173,A,R,2024-01-17,342
343,469,178,V,P,2023-03-12,343
344,553,136,A,A,2022-09-18,344
345,95,200,V,F,2019-12-25,345
346,76,401,A,R,2019-01-16,346
347,347,396,V,A,2024-05-31,347
348,216,24,A,F,2021-12-07,348
349,591,66,A,F,2019-02-21,349
350,382,343,A,A,2024-02-16,350
351,422,27,A,A,2020-03-27,351
352,41,412,V,A,2022-05-09,352
353,246,431,V,F,2021-09-10,353
354,497,121,A,F,2020-10-05,354
355,287,110,A,P,2021-09-07,355
356,204,11,A,A,2023-10-11,356
357,524,236,V,F,2021-04-04,357
358,538,473,V,A,2024-01-02,358
359,85,429,A,A,2020-10-13,359
360,591,491,V,A,2021-01-21,360
361,367,117,V,A,2020-01-21,361
362,203,87,V,P,2019-03-13,362
363,63,463,V,R,2023-09-13,363
364,138,353,V,P,2024-01-24,364
365,16,242,A,R,2021-05-10,365
366,506,465,A,F,2019-04-08,366
367,409,157,V,A,2020-02-27,367
368,374,168,A,A,2023-03-10,368
369,459,161,V,R,2021-12-28,369
370,67,317,A,P,2020-04-02,370
371,162,482,V,F,2020-04-17,371
372,501,357,V,A,2023-04-24,372
373,513,177,V,P,2022-12-26,373
374,490,277,A,F,2019-01-14,374
375,61,30,A,R,2024-01-10,375
376,19,22,V,A,2024-02-13,376
377,201,96,A,F,2022-08-01,377
378,189,70,A,P,2023-08-18,378
379,387,28,V,P,2023-01-17,379
380,171,464,V,F,2023-09-12,380
381,168,338,V,P,2022-06-17,381
382,507,37,V,A,2021-10-24,382
383,552,169,A,R,2024-04-15,383
384,364,316,V,A,2023-03-14,384
385,500,464,A,P,2022-12-31,385
386,590,343,V,R,2022-03-17,386
387,596,170,A,F,2019-02-13,387
388,90,438,V,R,2022-08-24,388
389,111,373,A,P,2019-10-02,389
390,598,335,V,R,2020-03-29,390
391,566,479,A,F,2023-03-03,391
392,320,118,V,A,2019-09-25,392
393,68,248,A,R,2021-03-23,393
394,518,463,A,F,2022-10-24,394
395,384,215,V,F,2020-07-02,395
396,35,464,A,P,2020-04-11,396
397,300,382,A,R,2021-12-23,397
398,18,75,V,R,2023-01-22,398
399,124,342,A,R,2020-01-04,399
400,446,102,V,P,2024-04-25,400
401,619,71,V,F,2021-03-24,401
402,583,247,A,P,2023-02-02,402
403,443,70,A,P,2021-05-06,403
404,318,393,V,P,2020-01-30,404
405,22,91,V,P,2024-05-23,405
406,4,151,A,F,2023-05-31,406
407,84,361,V,F,2019-02-15,407
408,579,76,V,A,2023-05-30,408
409,186,378,A,P,2019-01-02,409
410,359,12,A,P,2021-12-18,410
411,303,440,V,A,2021-08-30,411
412,391,238,A,A,2019-12-06,412
413,376,327,V,F,2021-09-07,413
414,319,323,A,F,2020-11-29,414
415,87,48,V,F,2023-07-29,415
416,466,375,V,R,2020-04-21,416
417,575,125,V,P,2023-05-18,417
418,138,82,A,A,2024-02-14,418
419,414,252,A,R,2020-12-17,419
420,141,51,A,A,2023-04-24,420
421,221,195,A,F,2023-09-12,421
422,114,10,V,F,2020-12-04,422
423,381,348,V,P,2019-11-05,423
424,287,6,A,A,2023-12-26,424
425,125,212,A,P,2022-07-06,425
426,433,315,V,F,2019-01-31,426
427,532,141,V,P,2023-02-24,427
428,54,118,A,A,2020-12-17,428
429,500,160,V,A,2020-04-23,429
430,341,216,V,F,2023-05-11,430
431,431,64,A,P,2021-06-08,431
432,154,149,V,F,2020-07-03,432
433,215,315,A,R,2021-01-10,433
434,505,240,V,F,2021-07-23,434
435,262,226,V,R,2022-03-18,435
436,275,418,A,A,2020-11-05,436
437,299,35,V,P,2024-04-27,437
438,136,315,A,A,2020-08-28,438
439,558,47,A,A,2019-05-18,439
440,380,357,V,P,2020-11-13,440
441,72,226,A,F,2019-03-11,441
442,231,471,A,R,2022-10-02,442
443,533,444,V,R,2020-07-18,443
444,195,144,V,F,2022-11-11,444
445,281,142,A,A,2024-05-03,445
446,247,78,V,P,2022-07-16,446
447,251,24,V,F,2021-04-01,447
448,255,370,V,F,2020-12-18,448
449,23,262,V,F,2022-07-28,449
450,255,7,A,F,2019-05-29,450
451,114,266,A,R,2019-11-02,451
452,311,152,V,R,2021-12-09,452
453,401,403,V,F,2020-07-10,453
454,429,234,A,A,2020-07-20,454
455,200,339,V,F,2020-06-02,455
456,451,334,A,R,2022-03-13,456
457,315,356,V,P,2021-03-28,457
458,558,276,A,A,2024-03-01,458
459,281,102,V,A,2022-09-04,459
460,211,430,A,R,2022-10-23,460
461,44,396,V,R,2022-07-10,461
462,491,236,V,R,2021-06-18,462
463,399,143,V,A,2023-02-20,463
464,107,277,V,F,2023-05-18,464
465,542,331,V,F,2020-12-26,465
466,249,176,A,A,2022-03-14,466
467,588,184,A,A,2020-03-30,467
468,56,435,V,R,2019-07-22,468
469,362,354,V,P,2020-11-22,469
470,579,105,A,F,2024-05-17,470
471,551,433,V,F,2019-03-06,471
472,549,159,A,A,2020-12-15,472
473,184,425,A,P,2024-04-13,473
474,349,440,V,F,2021-09-01,474
475,495,44,V,P,2022-04-09,475
476,534,31,A,R,2021-04-15,476
477,321,81,A,P,2023-12-04,477
478,363,295,A,R,2022-12-13,478
479,98,497,A,P,2022-11-25,479
480,360,15,A,R,2024-04-27,480
481,270,329,V,P,2022-07-10,481
482,351,298,V,A,2020-11-07,482
483,185,107,A,A,2022-03-14,483
484,132,338,A,R,2020-04-30,484
485,325,74,V,F,2024-03-24,485
486,403,237,A,P,2020-05-16,486
487,595,247,A,P,2019-12-24,487
488,584,104,A,R,2022-10-13,488
489,617,192,A,R,2023-12-15,489
490,12,316,V,F,2023-10-19,490
491,196,296,V,P,2023-10-29,491
492,159,60,V,A,2020-02-07,492
493,562,82,A,A,2020-09-30,493
494,315,198,A,A,2023-08-07,494
495,3,420,V,P,2020-09-14,495
496,389,128,V,A,2020-08-30,496
497,160,27,V,F,2022-02-04,497
498,205,346,V,A,2020-06-18,498
499,561,226,A,P,2019-01-01,499
500,243,101,A,P,2023-11-13,500
501,140,116,A,R,2020-04-20,501
502,615,392,A,A,2021-08-04,502
503,351,472,V,R,2019-01-25,503
504,162,308,A,F,2023-09-04,504
505,412,432,V,F,2024-04-26,505
506,149,147,V,A,2022-07-22,506
507,8,399,A,P,2024-04-16,507
508,267,70,V,R,2020-04-15,508
509,364,98,V,P,2021-05-23,509
510,121,130,A,F,2020-01-29,510
511,354,180,V,F,2021-12-24,511
512,551,399,A,F,2022-09-18,512
513,422,299,V,A,2019-06-13,513
514,287,166,V,A,2019-07-15,514
515,367,120,A,A,2021-06-04,515
516,530,224,V,P,2021-03-02,516
517,242,98,V,F,2023-08-06,517
518,291,113,V,R,2020-10-19,518
519,262,397,A,R,2020-11-12,519
520,465,322,A,P,2020-05-06,520
521,501,118,V,F,2019-11-08,521
522,410,288,V,F,2021-04-24,522
523,337,419,A,P,2023-02-20,523
524,348,481,A,F,2021-08-01,524
525,274,292,A,R,2024-01-23,525
526,371,350,A,R,2020-07-24,526
527,385,420,A,A,2024-01-01,527
528,234,88,V,A,2022-03-19,528
529,455,280,A,F,2020-10-06,529
530,313,150,V,A,2020-10-21,530
531,585,295,A,R,2024-05-18,531
532,330,10,V,P,2019-07-17,532
533,171,491,V,A,2022-02-25,533
534,535,194,V,A,2022-11-17,534
535,142,89,V,F,2020-06-05,535
536,426,297,V,F,2022-09-25,536
537,22,80,V,A,2020-07-18,537
538,480,287,A,F,2023-10-21,538
539,13,24,A,P,2020-04-27,539
540,49,411,V,F,2021-01-24,540
541,350,388,A,R,2022-02-02,541
542,27,73,A,F,2023-05-08,542
543,160,115,V,F,2021-09-12,543
544,142,166,A,P,2019-08-22,544
545,79,96,A,F,2023-11-22,545
546,516,28,A,A,2019-10-26,546
547,71,486,V,P,2022-08-03,547
548,229,94,A,F,2023-08-24,548
549,499,41,V,P,2024-05-24,549
550,440,123,V,P,2023-12-23,550
551,29,466,A,F,2021-04-06,551
552,55,242,A,A,2021-06-04,552
553,26,13,A,P,2021-10-13,553
554,568,148,A,R,2020-09-20,554
555,552,500,V,F,2021-03-11,555
556,51,206,V,A,2023-10-04,556
557,237,430,V,R,2022-07-05,557
558,373,124,V,F,2021-12-16,558
559,331,442,V,F,2024-04-28,559
560,465,486,V,F,2019-02-01,560
561,238,111,A,F,2020-04-18,561
562,519,241,A,A,2020-05-17,562
563,250,185,A,R,2023-11-17,563
564,421,188,V,F,2021-10-20,564
565,41,430,A,A,2019-04-19,565
566,163,180,V,R,2023-09-01,566
567,274,287,V,F,2024-04-21,567
568,272,15,A,A,2023-09-24,568
569,457,169,V,P,2023-06-06,569
570,599,326,V,F,2022-12-06,570
571,562,132,A,R,2023-01-21,571
572,228,138,A,R,2019-09-06,572
573,65,185,A,A,2022-05-16,573
574,277,390,V,A,2021-09-05,574
575,558,466,V,R,2023-03-17,575
576,319,228,V,A,2022-01-10,576
577,575,295,V,R,2020-09-19,577
578,220,314,A,R,2021-07-06,578
579,182,480,V,A,2023-11-04,579
580,326,177,V,R,2020-09-13,580
581,239,136,A,F,2022-08-30,581
582,183,197,A,R,2023-04-01,582
583,9,376,A,A,2020-01-22,583
584,370,496,A,P,2022-07-01,584
585,38,162,A,A,2019-10-20,585
586,388,488,A,P,2021-01-21,586
587,535,230,V,P,2023-02-03,587
588,55,431,A,P,2022-07-06,588
589,348,191,A,R,2022-12-30,589
590,316,119,V,F,2019-03-01,590
591,68,4,A,R,2022-04-16,591
592,409,122,V,A,2021-10-17,592
593,334,346,A,P,2021-09-10,593
594,50,35,V,P,2020-08-19,594
595,253,15,V,F,2023-11-04,595
596,59,192,A,A,2022-05-18,596
597,66,38,V,R,2020-09-15,597
598,134,447,A,A,2022-05-03,598
599,175,110,V,R,2020-03-08,599
600,437,314,V,P,2019-01-24,600
601,394,200,V,A,2021-09-16,601
602,501,449,V,A,2019-02-01,602
603,212,317,A,P,2020-12-19,603
604,310,185,V,F,2019-11-20,604
605,576,366,V,A,2019-11-19,605
606,87,409,A,P,2022-03-04,606
607,510,243,A,R,2023-12-22,607
608,256,471,A,F,2022-09-28,608
609,95,235,V,R,2023-03-23,609
610,402,375,V,F,2019-01-08,610
611,446,175,A,A,2023-09-08,611
612,198,162,A,A,2023-03-13,612
613,516,150,A,A,2024-04-08,613
614,425,282,V,A,2023-02-17,614
615,202,170,V,P,2021-03-21,615
616,227,259,A,A,2020-05-28,616
617,34,288,V,P,2020-05-16,617
618,494,437,V,F,2019-03-10,618
619,393,67,A,P,2023-02-24,619
620,198,93,V,R,2021-10-06,620
621,122,39,V,P,2023-01-18,621
622,581,263,V,P,2020-03-27,622
623,457,295,V,A,2024-03-09,623
624,422,354,V,P,2022-01-24,624
625,308,142,A,P,2023-03-18,625
626,27,251,V,F,2019-06-04,626
627,330,319,V,P,2021-08-06,627
628,352,320,V,F,2019-09-05,628
629,408,405,A,F,2022-02-05,629
630,276,477,V,R,2019-04-17,630
631,218,68,V,P,2022-11-24,631
632,543,241,V,A,2019-09-12,632
633,337,36,A,A,2022-02-10,633
634,173,2,V,P,2022-09-07,634
635,321,165,V,A,2021-04-27,635
636,242,437,V,R,2020-02-14,636
637,21,124,A,R,2022-02-10,637
638,276,249,V,R,2020-02-09,638
639,132,124,V,A,2020-05-29,639
640,292,345,V,F,2023-11-11,640
641,97,472,A,F,2023-01-22,641
642,469,80,V,A,2022-08-21,642
643,560,358,A,R,2021-12-30,643
644,586,96,A,P,2020-08-04,644
645,87,266,V,P,2021-04-10,645
646,535,293,V,F,2022-09-11,646
647,257,447,A,A,2022-09-16,647
648,459,498,V,P,2021-06-19,648
649,194,295,A,F,2019-08-04,649
650,254,10,V,F,2022-11-25,650
651,441,267,V,R,2019-03-05,651
652,514,176,V,R,2020-08-30,652
653,448,109,A,R,2019-03-02,653
654,145,194,A,P,2020-12-31,654
655,233,235,A,A,2019-08-27,655
656,523,178,A,R,2019-01-24,656
657,562,170,V,R,2019-09-04,657
658,151,124,A,F,2021-08-25,658
659,128,166,V,F,2023-01-14,659
660,389,190,A,P,2019-02-06,660
661,446,296,A,R,2024-01-10,661
662,518,297,A,A,2023-12-03,662
663,433,481,A,A,2023-11-09,663
664,545,436,A,R,2024-02-22,664
665,356,399,V,P,2022-12-17,665
666,158,363,A,R,2023-10-08,666
667,532,21,A,P,2022-10-09,667
668,346,31,A,A,2022-02-28,668
669,106,218,V,R,2022-10-12,669
670,140,363,V,P,2024-02-27,670
671,571,194,V,P,2020-10-06,671
672,135,41,V,R,2023-07-25,672
673,337,468,V,A,2023-02-07,673
674,612,230,A,F,2023-04-14,674
675,189,63,V,A,2020-06-14,675
676,161,95,V,A,2019-01-08,676
677,310,445,A,F,2020-07-06,677
678,598,209,V,A,2019-09-12,678
679,233,421,V,P,2019-10-30,679
680,162,339,V,A,2019-04-25,680
681,522,196,A,P,2021-11-14,681
682,72,474,A,P,2023-06-29,682
683,121,407,V,R,2023-08-09,683
684,394,391,A,P,2021-05-29,684
685,455,192,V,R,2023-05-04,685
686,95,113,V,F,2024-05-27,686
687,304,38,A,P,2020-03-06,687
688,532,493,V,A,2022-07-27,688
689,237,46,V,R,2022-05-13,689
690,160,31,A,F,2019-05-22,690
691,243,307,V,R,2019-03-23,691
692,217,384,V,R,2021-10-04,692
693,413,155,V,F,2021-08-23,693
694,542,312,A,F,2022-02-16,694
695,619,470,A,A,2023-07-19,695
696,371,383,V,P,2020-05-22,696
697,287,13,A,P,2020-07-11,697
698,286,135,V,P,2020-06-11,698
699,209,159,V,A,2021-07-16,699
700,473,163,A,P,2023-03-11,700
701,150,451,V,A,2021-07-05,701
702,36,445,V,F,2019-09-23,702
703,246,295,V,A,2020-08-30,703
704,201,400,V,P,2022-11-22,704
705,395,427,V,F,2024-03-03,705
706,264,364,A,P,2023-04-29,706
707,224,39,V,R,2021-01-13,707
708,249,195,V,P,2020-01-31,708
709,124,436,V,F,2022-11-11,709
710,415,47,V,A,2022-08-18,710
711,60,420,A,R,2021-07-21,711
712,183,182,V,R,2023-12-16,712
713,389,58,V,F,2020-11-21,713
714,371,3,A,A,2019-07-11,714
715,401,328,V,R,2023-07-04,715
716,324,437,A,P,2023-11-28,716
717,182,364,V,R,2021-03-10,717
718,380,184,A,F,2020-12-14,718
719,113,80,A,F,2020-02-29,719
720,502,40,V,A,2023-07-02,720
721,292,55,A,R,2019-07-15,721
722,406,482,V,F,2024-01-12,722
723,336,281,V,F,2022-02-19,723
724,220,217,A,F,2022-09-20,724
725,389,239,A,P,2020-10-07,725
726,320,265,A,A,2023-05-05,726
727,341,265,A,P,2020-05-14,727
728,115,278,V,R,2023-05-21,728
729,452,251,A,R,2024-02-11,729
730,358,87,V,R,2023-03-02,730
731,586,374,A,A,2020-08-19,731
