cod_seguimiento,cod_cliente_interno,cod_tipo_accion,comentario,fecha_resolucion,numero_caso
76,3,E,Se ha verificado el inventario de herramientas y se ha iniciado el proceso de envío del taladro faltante para completar el kit,2024-03-21,4
77,3,R,Se ha contactado al proveedor para discutir el problema de las alas de pollo y se están revisando los procedimientos de corte para garantizar la calidad y consistencia del producto.,2024-03-30,2
78,1,R,Se ha verificado el inventario de herramientas y se ha iniciado el proceso de envío del taladro faltante para completar el kit,2024-05-06,3
79,1,R,Se está coordinando la entrega de una nueva partida de guantes de la talla correcta y reemplazando la indumentaria de protección dañada para garantizar tu seguridad en el trabajo.Se está inspeccionando cada pieza de las estanterías afectadas para identificar el alcance del daño y determinar las acciones correctivas necesarias,2024-03-26,0
80,1,E,Se ha descartado el lote afectado y se está investigando la cadena de suministro para identificar la causa del problema y evitar futuras incidencias.,2024-05-01,2
81,6,C,Se está realizando pruebas exhaustivas en la impresora para identificar y solucionar los problemas de impresión y funcionamiento.,2024-05-04,2
82,5,C,Se está llevando a cabo una revisión exhaustiva de los procesos de almacenamiento y manipulación de las pechugas de pollo para identificar la fuente del problema y se han reforzado los controles de calidad para evitar errores similares en el futuro.,2024-03-31,0
83,3,I,Se ha verificado el inventario de herramientas y se ha iniciado el proceso de envío del taladro faltante para completar el kit,2024-05-03,0
84,5,I,Se está coordinando la entrega de una nueva partida de guantes de la talla correcta y reemplazando la indumentaria de protección dañada para garantizar tu seguridad en el trabajo.Se está inspeccionando cada pieza de las estanterías afectadas para identificar el alcance del daño y determinar las acciones correctivas necesarias,2024-04-20,4
85,1,R,Se está evaluando la temperatura de almacenamiento y transporte de los productos congelados para corregir cualquier irregularidad que pueda causar la formación de cristales de hielo en el futuro.,2024-03-30,0
86,1,C,Se ha verificado el inventario de herramientas y se ha iniciado el proceso de envío del taladro faltante para completar el kit,2024-04-13,4
87,4,C,Se revisará detalladamente el respaldo de la silla y diagnosticar el problema con el teléfono multifuncional para su pronta reparación.,2024-05-04,3
88,4,C,Se está evaluando la temperatura de almacenamiento y transporte de los productos congelados para corregir cualquier irregularidad que pueda causar la formación de cristales de hielo en el futuro.,2024-03-27,3
89,6,R,Se ha verificado el inventario de herramientas y se ha iniciado el proceso de envío del taladro faltante para completar el kit,2024-04-23,3
90,2,R,Se revisará detalladamente el respaldo de la silla y diagnosticar el problema con el teléfono multifuncional para su pronta reparación.,2024-03-24,3
91,4,R,Se ha iniciado una investigación interna para determinar en qué etapa del proceso de embalaje ocurrió el daño al envase y se está tomando medidas para mejorar el proceso de manipulación y embalaje.,2024-04-28,4
92,6,C,Se está evaluando la temperatura de almacenamiento y transporte de los productos congelados para corregir cualquier irregularidad que pueda causar la formación de cristales de hielo en el futuro.,2024-04-29,0
93,4,E,Se ha iniciado una investigación interna para determinar en qué etapa del proceso de embalaje ocurrió el daño al envase y se está tomando medidas para mejorar el proceso de manipulación y embalaje.,2024-04-22,4
94,4,C,Se revisará detalladamente el respaldo de la silla y diagnosticar el problema con el teléfono multifuncional para su pronta reparación.,2024-04-26,2
95,1,E,Se ha iniciado una investigación interna para determinar en qué etapa del proceso de embalaje ocurrió el daño al envase y se está tomando medidas para mejorar el proceso de manipulación y embalaje.,2024-05-01,4
96,5,E,Se está realizando pruebas exhaustivas en la impresora para identificar y solucionar los problemas de impresión y funcionamiento.,2024-04-05,4
97,6,I,Se ha descartado el lote afectado y se está investigando la cadena de suministro para identificar la causa del problema y evitar futuras incidencias.,2024-04-08,4
98,4,E,Se está llevando a cabo una revisión exhaustiva de los procesos de almacenamiento y manipulación de las pechugas de pollo para identificar la fuente del problema y se han reforzado los controles de calidad para evitar errores similares en el futuro.,2024-04-26,4
99,5,R,Se ha iniciado una investigación interna para determinar en qué etapa del proceso de embalaje ocurrió el daño al envase y se está tomando medidas para mejorar el proceso de manipulación y embalaje.,2024-04-13,3
100,6,I,Se está coordinando la entrega de una nueva partida de guantes de la talla correcta y reemplazando la indumentaria de protección dañada para garantizar tu seguridad en el trabajo.Se está inspeccionando cada pieza de las estanterías afectadas para identificar el alcance del daño y determinar las acciones correctivas necesarias,2024-04-08,2
