cod_paradero,cod_local,cod_ruta,cod_paradero_tipo,orden
904,40,35,3,4
920,57,35,3,4
18,67,36,3,4
154,89,36,3,4
182,78,36,3,4
231,54,36,3,4
261,90,36,2,2
267,33,36,1,1
401,37,36,3,4
758,82,36,2,3
316,53,37,2,2
326,99,37,1,1
621,87,37,1,1
646,26,37,2,2
755,63,37,3,4
859,86,37,3,4
369,75,38,2,3
486,97,38,1,1
494,21,38,2,3
508,88,38,3,4
520,4,38,2,3
963,35,38,2,2
139,8,39,2,3
343,71,39,2,3
669,58,39,1,1
722,89,39,3,4
928,34,39,3,4
989,3,39,1,1
56,89,40,2,3
64,38,40,2,2
91,51,40,2,3
295,74,40,1,1
467,50,40,2,2
571,80,40,2,2
604,75,40,2,2
657,78,40,1,1
752,82,40,3,4
919,24,40,2,2
137,57,41,1,1
161,20,41,2,2
168,45,41,2,2
186,49,41,2,2
196,9,41,1,1
211,30,41,1,1
252,21,41,1,1
368,52,41,2,2
642,51,41,2,3
707,98,41,3,4
770,24,41,1,1
819,35,41,2,3
864,74,41,1,1
936,84,41,3,4
937,76,41,2,2
973,34,41,1,1
175,35,42,3,4
309,83,42,2,2
396,49,42,3,4
416,60,42,3,4
452,13,42,1,1
595,84,42,2,3
672,34,42,3,4
785,16,42,3,4
892,71,42,1,1
916,33,42,2,3
84,6,43,1,1
133,86,43,2,2
542,87,43,1,1
696,60,43,2,3
743,14,43,1,1
746,41,43,1,1
759,9,43,3,4
822,54,43,2,3
956,43,43,1,1
12,75,44,2,2
130,82,44,2,3
256,33,44,2,2
305,19,44,1,1
334,66,44,2,2
376,59,44,3,4
488,83,44,2,3
539,13,44,2,3
682,23,44,3,4
684,33,44,1,1
714,99,44,2,2
715,11,44,2,3
717,87,44,2,2
832,7,44,2,3
244,88,45,2,2
248,81,45,2,2
361,51,45,1,1
372,70,45,1,1
379,39,45,3,4
575,31,45,1,1
693,82,45,3,4
708,14,45,1,1
781,22,45,1,1
905,71,45,1,1
104,77,46,2,3
107,97,46,1,1
134,42,46,2,2
273,80,46,2,2
335,56,46,1,1
569,6,46,3,4
718,73,46,2,2
769,23,46,3,4
791,99,46,1,1
800,9,46,3,4
830,23,46,3,4
921,32,46,2,3
934,91,46,2,2
69,65,47,2,2
190,95,47,1,1
331,71,47,2,3
547,30,47,3,4
655,22,47,2,2
812,39,47,2,2
978,78,47,2,2
21,23,48,1,1
228,3,48,3,4
240,49,48,2,2
293,92,48,2,2
436,70,48,2,3
492,6,48,3,4
577,77,48,2,3
618,88,48,3,4
705,16,48,1,1
894,24,48,3,4
951,90,48,3,4
961,10,48,3,4
981,26,48,2,2
985,6,48,2,2
317,1,49,1,1
333,76,49,1,1
351,7,49,2,3
362,25,49,3,4
426,86,49,2,2
441,1,49,2,3
499,29,49,3,4
503,31,49,2,3
692,41,49,1,1
698,82,49,2,2
783,11,49,2,3
835,44,49,1,1
997,63,49,2,3
52,15,50,3,4
59,57,50,2,3
128,17,50,2,3
172,17,50,1,1
193,79,50,2,3
354,38,50,1,1
549,61,50,3,4
607,35,50,1,1
638,63,50,2,3
740,9,50,1,1
960,6,50,2,2
179,82,51,2,2
299,88,51,1,1
363,65,51,3,4
490,27,51,3,4
519,34,51,1,1
545,60,51,2,2
664,72,51,1,1
671,69,51,2,2
784,70,51,3,4
829,38,51,2,3
247,61,52,3,4
329,61,52,3,4
565,100,52,2,2
635,95,52,3,4
658,16,52,3,4
883,53,52,3,4
954,97,52,2,3
73,42,53,1,1
150,83,53,3,4
232,81,53,2,3
287,92,53,1,1
319,12,53,2,3
337,79,53,1,1
408,54,53,2,3
419,69,53,3,4
553,21,53,2,2
588,56,53,2,3
675,33,53,2,3
808,99,53,2,2
915,100,53,2,3
926,48,53,1,1
943,12,53,2,3
112,34,54,3,3
195,84,54,3,3
304,4,54,3,3
522,48,54,3,3
537,45,54,3,3
599,63,54,1,1
627,7,54,1,1
66,40,55,2,2
103,30,55,2,2
119,35,55,2,2
199,51,55,1,1
222,35,55,3,3
237,31,55,3,3
283,48,55,2,2
308,59,55,2,2
564,89,55,3,3
780,40,55,2,2
854,7,55,3,3
861,76,55,1,1
81,23,56,1,1
142,73,56,3,4
292,46,56,2,2
323,91,56,3,4
440,9,56,2,2
477,91,56,1,1
526,22,56,2,3
556,69,56,1,1
601,47,56,3,4
817,20,56,3,4
65,77,57,3,4
178,11,57,2,2
253,66,57,3,4
286,50,57,1,1
291,15,57,2,3
366,23,57,2,3
405,4,57,3,4
413,34,57,2,3
466,52,57,2,2
634,77,57,2,2
674,64,57,2,2
735,17,57,1,1
976,37,57,3,4
151,17,58,2,2
214,58,58,2,2
233,8,58,2,3
236,20,58,2,2
407,92,58,2,3
592,99,58,3,4
728,12,58,3,4
744,21,58,2,3
834,83,58,2,3
971,82,58,3,4
49,4,59,2,3
109,100,59,1,1
124,6,59,2,3
229,9,59,3,4
375,80,59,2,3
380,80,59,3,4
460,90,59,3,4
610,37,59,2,2
614,30,59,3,4
651,31,59,1,1
653,52,59,1,1
749,24,59,1,1
767,77,59,2,2
944,96,59,2,2
235,8,60,3,4
266,36,60,1,1
279,2,60,2,3
298,83,60,2,3
515,56,60,1,1
560,17,60,3,4
701,14,60,2,3
847,30,60,2,3
6,60,61,1,1
115,99,61,3,4
212,36,61,1,1
259,38,61,2,3
278,77,61,1,1
285,35,61,2,2
327,80,61,2,3
371,65,61,2,2
458,83,61,2,2
574,72,61,2,3
683,43,61,2,3
866,16,61,2,3
929,52,61,2,3
938,82,61,1,1
987,61,61,2,2
990,77,61,1,1
39,64,62,2,2
197,67,62,1,1
208,34,62,2,3
209,26,62,3,4
301,18,62,2,3
339,7,62,1,1
345,62,62,3,4
367,95,62,2,2
374,49,62,2,3
602,96,62,2,2
702,68,62,1,1
729,22,62,2,2
763,3,62,2,2
778,18,62,2,3
799,98,62,2,2
924,83,62,2,3
957,37,62,3,4
16,60,63,1,1
53,38,63,3,4
70,89,63,2,3
152,4,63,2,3
224,6,63,3,4
270,47,63,3,4
315,96,63,3,4
377,8,63,2,3
687,10,63,1,1
697,79,63,2,3
135,21,64,3,4
153,71,64,1,1
202,43,64,3,4
344,31,64,2,3
463,34,64,3,4
465,80,64,2,3
555,33,64,1,1
584,17,64,1,1
689,87,64,1,1
724,94,64,1,1
727,45,64,1,1
801,15,64,1,1
909,19,64,2,2
281,76,65,2,2
561,17,65,1,1
579,15,65,1,1
626,62,65,3,3
706,93,65,3,3
762,91,65,3,3
879,1,65,2,2
184,71,66,2,3
191,13,66,2,2
388,40,66,3,4
449,51,66,2,2
631,4,66,1,1
685,67,66,3,4
790,83,66,1,1
923,30,66,1,1
90,51,67,2,2
223,19,67,2,2
505,43,67,3,4
644,51,67,3,4
703,15,67,2,3
85,36,68,1,1
387,41,68,1,1
518,64,68,3,4
713,87,68,3,4
736,46,68,2,2
895,39,68,1,1
2,67,69,3,4
87,73,69,3,4
294,14,69,1,1
303,48,69,2,2
352,13,69,3,4
414,98,69,1,1
429,22,69,2,3
587,76,69,3,4
771,90,69,1,1
189,68,70,3,4
480,42,70,2,2
510,10,70,2,2
528,27,70,2,2
622,75,70,3,4
624,72,70,1,1
10,57,71,3,4
55,30,71,2,3
132,36,71,2,3
141,65,71,1,1
180,6,71,3,4
476,80,71,3,4
676,38,71,2,3
745,16,71,1,1
855,53,71,3,4
271,100,72,1,1
485,97,72,1,1
612,52,72,3,4
619,50,72,3,4
952,65,72,2,3
980,22,72,3,4
994,84,72,3,4
385,49,73,2,3
399,96,73,1,1
454,53,73,2,3
570,68,73,2,2
573,61,73,1,1
613,32,73,1,1
662,3,73,3,4
690,88,73,1,1
733,82,73,2,3
885,81,73,1,1
11,23,74,3,4
129,71,74,3,4
245,70,74,1,1
311,65,74,2,2
332,14,74,1,1
437,69,74,2,2
445,83,74,1,1
512,16,74,1,1
559,21,74,2,3
858,9,74,3,4
251,7,75,1,1
338,6,75,3,4
422,24,75,1,1
462,36,75,2,2
551,48,75,1,1
578,64,75,3,4
620,69,75,2,2
873,32,75,2,2
962,92,75,2,3
27,69,76,2,2
28,23,76,3,4
140,79,76,1,1
143,100,76,1,1
234,26,76,2,3
290,5,76,3,4
582,37,76,1,1
603,81,76,2,3
760,95,76,2,2
786,94,76,1,1
911,90,76,2,2
932,65,76,3,4
967,94,76,3,4
984,6,76,1,1
22,58,77,2,3
123,41,77,2,2
535,92,77,2,2
629,58,77,2,2
695,18,77,2,2
849,96,77,3,4
863,16,77,3,4
157,55,78,2,2
225,34,78,1,1
276,7,78,2,2
320,25,78,3,4
346,6,78,2,3
725,48,78,2,3
751,86,78,1,1
795,90,78,2,3
798,57,78,2,3
856,60,78,1,1
878,15,78,3,4
903,21,78,2,2
912,20,78,3,4
24,59,79,2,3
29,55,79,2,2
478,88,79,2,3
645,66,79,1,1
996,1,79,3,4
33,54,80,2,2
44,4,80,2,3
117,48,80,2,3
147,3,80,1,1
163,18,80,2,2
280,55,80,1,1
474,2,80,1,1
493,93,80,1,1
590,31,80,2,3
734,70,80,2,3
977,8,80,3,4
992,64,80,2,2
101,4,81,1,1
138,47,81,2,2
220,97,81,2,2
355,22,81,2,3
360,1,81,3,4
473,16,81,2,3
530,77,81,1,1
562,43,81,1,1
950,14,81,3,4
975,56,81,2,2
995,40,81,3,4
83,20,82,2,3
110,88,82,3,4
136,8,82,2,3
159,30,82,2,3
187,37,82,1,1
216,71,82,2,2
616,77,82,2,3
768,58,82,2,2
772,44,82,1,1
896,19,82,2,2
958,79,82,1,1
986,91,82,2,2
54,6,83,2,2
114,60,83,2,2
284,89,83,2,3
325,27,83,2,3
435,2,83,3,4
455,62,83,3,4
529,22,83,3,4
611,54,83,3,4
776,25,83,3,4
796,7,83,1,1
886,58,83,3,4
898,13,83,2,2
901,3,83,2,2
949,61,83,2,2
188,32,84,2,2
258,58,84,2,3
330,21,84,1,1
501,40,84,3,4
558,88,84,2,3
779,35,84,2,3
820,6,84,2,3
998,76,84,2,3
35,48,85,2,2
173,73,85,2,2
185,92,85,3,4
206,88,85,3,4
447,79,85,2,2
831,26,85,2,2
504,50,86,3,4
538,10,86,2,2
585,42,86,2,2
766,70,86,1,1
942,2,86,2,2
974,75,86,3,4
37,26,87,3,3
106,3,87,1,1
364,11,87,1,1
402,22,87,1,1
639,64,87,1,1
652,63,87,1,1
737,7,87,1,1
739,6,87,1,1
945,90,87,2,2
968,61,87,2,2
96,41,88,1,1
105,88,88,3,4
160,25,88,3,4
171,18,88,3,4
288,97,88,2,2
347,19,88,2,2
424,85,88,2,3
425,67,88,2,3
591,59,88,3,4
775,39,88,2,2
838,86,88,1,1
930,56,88,2,2
947,7,88,2,2
955,95,88,1,1
36,15,89,3,4
62,93,89,2,3
321,9,89,2,2
412,18,89,2,2
446,20,89,3,4
457,65,89,1,1
507,93,89,3,4
521,62,89,2,2
837,99,89,2,2
935,84,89,1,1
257,15,90,2,3
265,42,90,2,2
340,79,90,1,1
403,40,90,3,4
821,51,90,2,3
833,86,90,1,1
75,16,91,2,2
88,11,91,2,2
302,61,91,2,3
307,44,91,3,4
489,68,91,3,4
511,68,91,3,4
659,34,91,2,3
719,42,91,3,4
761,78,91,2,2
805,66,91,1,1
95,61,92,3,4
215,57,92,1,1
289,26,92,2,2
356,6,92,2,3
421,32,92,2,3
596,75,92,2,2
606,30,92,3,4
677,65,92,3,4
813,66,92,2,2
826,38,92,1,1
897,52,92,2,2
939,98,92,1,1
4,41,93,2,3
58,55,93,3,4
68,46,93,2,2
164,14,93,3,4
263,93,93,3,4
409,23,93,2,2
410,24,93,2,3
502,17,93,2,2
563,27,93,1,1
608,90,93,3,4
777,83,93,1,1
810,72,93,3,4
953,74,93,1,1
959,7,93,3,4
15,2,94,3,3
475,2,94,3,3
544,41,94,2,2
914,82,94,1,1
941,69,94,1,1
23,20,95,3,4
97,72,95,2,3
100,21,95,3,4
116,97,95,3,4
183,67,95,2,2
210,95,95,3,4
324,100,95,2,3
328,80,95,2,2
517,37,95,1,1
568,64,95,2,3
589,95,95,2,3
747,72,95,1,1
483,58,96,3,4
534,46,96,2,2
598,66,96,2,3
670,6,96,2,3
839,52,96,3,4
865,70,96,1,1
907,21,96,2,3
970,18,96,3,4
148,14,97,3,4
169,90,97,2,2
205,60,97,2,3
217,99,97,2,3
300,35,97,2,3
310,59,97,2,2
353,92,97,1,1
359,82,97,3,4
580,35,97,3,4
630,31,97,3,4
678,23,97,2,3
788,90,97,1,1
792,87,97,2,2
797,30,97,2,3
900,25,97,2,2
42,41,98,2,3
166,100,98,3,4
177,60,98,3,4
392,20,98,2,2
464,80,98,2,3
513,93,98,3,4
543,87,98,3,4
581,96,98,2,3
688,27,98,3,4
753,70,98,2,3
848,19,98,2,3
860,84,98,2,3
862,13,98,1,1
880,55,98,1,1
918,55,98,2,3
1,79,99,1,1
86,71,99,3,4
406,45,99,1,1
531,64,99,2,2
686,98,99,3,4
716,29,99,1,1
732,40,99,2,2
816,29,99,3,4
891,75,99,2,2
902,22,99,1,1
78,58,100,2,3
238,94,100,1,1
381,99,100,2,2
509,41,100,2,2
525,86,100,3,4
648,76,100,2,3
694,11,100,1,1
699,3,100,2,3
811,49,100,1,1
869,100,100,3,4
965,79,100,3,4
972,81,100,3,4
979,42,100,1,1
