cod_ticket,fecha_entrega
1062,2022-11-12
1063,2021-07-21
1064,2020-11-15
1065,2024-07-28
1066,2022-04-23
1067,2023-01-07
1068,2020-03-13
1069,2024-07-05
1070,2020-11-12
1071,2023-12-11
1072,2023-06-04
1073,2021-06-02
1074,2024-06-24
1075,2022-11-27
1076,2022-09-22
1077,2021-11-22
1078,2022-04-22
1079,2020-12-03
1080,2022-10-17
1081,2021-04-18
1082,2021-03-01
1083,2023-07-16
1084,2022-07-07
1085,2023-06-27
1086,2022-07-11
1087,2022-12-20
1088,2020-09-28
1089,2023-06-14
1090,2020-04-25
1091,2020-02-07
1092,2021-09-19
1093,2021-10-31
1094,2022-07-13
1095,2021-07-24
1096,2022-02-12
1097,2024-03-13
1098,2022-05-03
1099,2022-11-16
1100,2022-12-11
1101,2020-07-07
1102,2023-08-17
1103,2020-02-02
1104,2020-12-09
1105,2022-02-12
1106,2023-08-18
1107,2022-01-11
1108,2023-10-28
1109,2023-12-28
1110,2022-02-21
1111,2020-09-24
1112,2023-05-25
1113,2023-06-05
1114,2021-08-18
1115,2020-01-16
1116,2021-06-14
1117,2023-04-15
1118,2021-09-03
1119,2022-04-08
1120,2022-12-02
1121,2021-11-13
1122,2023-04-22
1123,2022-06-19
1124,2020-12-02
1125,2024-05-08
1126,2023-12-02
1127,2022-04-06
1128,2020-09-22
1129,2021-05-13
1130,2022-04-11
1131,2023-07-12
1132,2021-06-19
1133,2022-09-17
1134,2021-02-15
1135,2023-02-28
1136,2022-01-04
1137,2022-12-04
1138,2020-12-14
1139,2020-12-08
1140,2024-01-18
1141,2023-09-21
1142,2022-05-07
1143,2022-07-06
1144,2024-01-16
1145,2022-01-20
1146,2022-11-03
1147,2020-07-29
1148,2023-01-17
1149,2024-04-23
1150,2023-02-09
1151,2020-04-28
1152,2020-09-12
1153,2020-01-17
1154,2020-06-13
1155,2024-04-18
1156,2021-12-21
1157,2024-05-27
1158,2022-05-16
1159,2022-11-02
1160,2023-10-15
1161,2020-11-22
1162,2023-06-18
1163,2020-08-03
1164,2021-06-19
1165,2020-08-25
1166,2020-11-07
1167,2024-02-21
1168,2020-07-10
1169,2022-12-12
1170,2020-09-21
1171,2022-11-17
1172,2024-04-17
1173,2022-01-17
1174,2020-11-26
1175,2021-05-06
1176,2021-07-22
1177,2023-10-23
1178,2020-04-10
1179,2021-03-24
1180,2023-02-08
1181,2020-10-19
1182,2020-05-02
1183,2021-01-07
1184,2022-02-09
1185,2020-02-24
1186,2021-09-26
1187,2021-02-04
1188,2021-11-09
1189,2022-01-13
1190,2023-03-28
1191,2022-12-11
1192,2020-06-02
1193,2024-03-29
1194,2021-01-09
1195,2023-06-04
1196,2020-06-04
1197,2022-05-05
1198,2022-07-16
1199,2023-01-15
1200,2024-07-19
1201,2024-06-14
1202,2021-09-22
1203,2021-05-18
1204,2021-01-21
1205,2020-05-24
1206,2023-03-05
1207,2024-04-05
1208,2023-04-10
1209,2020-11-29
1210,2023-05-22
1211,2023-11-02
1212,2023-01-04
1213,2021-06-14
1214,2023-04-19
1215,2024-07-21
1216,2020-01-10
1217,2020-09-21
1218,2023-11-26
1219,2022-05-18
1220,2021-10-06
1221,2020-08-24
1222,2024-06-03
1223,2023-03-18
1224,2024-05-30
1225,2020-08-08
1226,2024-05-26
1227,2023-10-19
1228,2024-01-28
1229,2021-12-12
1230,2020-10-01
1231,2024-03-12
1232,2020-11-20
1233,2024-01-13
1234,2023-09-12
1235,2020-12-01
1236,2022-02-28
1237,2022-08-18
1238,2023-04-22
1239,2022-09-14
1240,2022-07-19
1241,2022-09-29
1242,2020-11-02
1243,2023-03-04
1244,2022-06-27
1245,2023-12-05
1246,2022-02-15
1247,2021-04-21
1248,2024-06-14
1249,2022-07-16
1250,2022-05-18
1251,2020-09-26
1252,2024-02-06
1253,2021-04-19
1254,2024-02-29
1255,2024-04-25
1256,2022-01-21
1257,2023-02-17
1258,2022-09-12
1259,2020-08-23
1260,2021-05-15
1261,2023-11-27
1262,2020-08-14
1263,2021-10-27
1264,2021-09-29
1265,2023-03-11
1266,2023-05-03
1267,2020-12-15
1268,2024-07-24
1269,2022-06-13
1270,2020-07-05
1271,2021-12-27
1272,2024-02-09
1273,2021-10-13
1274,2023-07-21
1275,2023-05-04
1276,2022-08-12
1277,2024-06-03
1278,2022-01-07
1279,2023-03-14
1280,2022-03-18
1281,2021-10-22
1282,2020-02-22
1283,2022-09-22
1284,2021-05-27
1285,2021-10-24
1286,2021-03-24
1287,2021-01-30
1288,2023-10-07
1289,2024-07-01
1290,2023-06-28
1291,2023-11-24
1292,2024-06-26
1293,2022-12-30
1294,2023-12-13
1295,2021-07-27
1296,2022-07-29
1297,2020-04-09
1298,2022-12-23
1299,2022-01-05
1300,2023-12-03
1301,2023-01-29
1302,2022-02-13
1303,2022-08-17
1304,2021-09-16
1305,2022-05-15
1306,2022-09-20
1307,2020-09-06
1308,2023-02-07
1309,2024-02-01
1310,2022-10-30
1311,2021-02-25
1312,2021-11-08
1313,2024-07-25
1314,2024-07-15
1315,2022-11-27
1316,2022-08-14
1317,2022-06-30
1318,2020-11-08
1319,2024-07-20
1320,2020-01-19
1321,2021-12-22
1322,2020-01-18
1323,2020-07-06
1324,2021-11-05
1325,2020-01-29
1326,2020-07-26
1327,2024-07-03
1328,2023-02-13
1329,2021-04-23
1330,2024-07-03
1331,2024-01-23
1332,2023-07-27
1333,2024-07-22
1334,2020-04-13
1335,2022-07-20
1336,2023-08-04
1337,2023-06-25
1338,2021-05-21
1339,2023-07-22
1340,2022-08-23
1341,2022-03-17
1342,2022-11-03
1343,2021-04-27
1344,2020-07-10
1345,2021-12-26
1346,2021-02-08
1347,2021-08-10
1348,2021-10-19
1349,2024-04-19
1350,2020-03-26
1351,2024-07-18
1352,2020-04-07
1353,2021-06-05
1354,2022-12-07
1355,2021-08-15
1356,2021-07-08
1357,2024-04-07
1358,2023-10-04
1359,2020-03-27
1360,2024-01-25
1361,2021-09-26
1362,2021-02-27
1363,2021-02-19
1364,2020-07-15
1365,2024-01-25
1366,2023-05-31
1367,2022-11-16
1368,2023-07-07
1369,2020-10-29
1370,2020-07-31
1371,2022-07-31
1372,2023-12-17
1373,2022-01-02
1374,2023-07-05
1375,2022-02-01
1376,2021-01-15
1377,2022-10-23
1378,2020-02-18
1379,2024-02-12
1380,2021-03-22
1381,2022-12-03
1382,2020-04-25
1383,2024-03-11
1384,2024-03-22
1385,2022-01-17
1386,2022-06-06
1387,2021-10-31
1388,2020-12-19
1389,2022-08-01
1390,2023-01-18
1391,2021-10-10
1392,2024-01-24
1393,2023-07-01
1394,2021-09-03
1395,2022-10-10
1396,2021-03-04
1397,2020-02-02
1398,2022-11-04
1399,2021-04-09
1400,2020-11-12
1401,2021-06-15
1402,2022-10-07
1403,2023-06-17
1404,2022-10-12
1405,2022-02-10
1406,2020-06-12
1407,2024-03-26
1408,2020-02-22
1409,2024-03-11
1410,2020-03-25
1411,2020-02-29
1412,2022-01-27
1413,2020-07-05
1414,2020-10-17
1415,2023-09-01
1416,2022-04-19
1417,2023-08-17
1418,2022-12-24
1419,2021-03-02
1420,2022-03-25
1421,2022-12-28
1422,2021-05-16
1423,2020-07-13
1424,2021-07-03
1425,2023-09-08
1426,2023-08-10
1427,2022-07-16
1428,2024-05-18
1429,2020-08-21
1430,2020-02-13
1431,2024-06-11
1432,2024-06-28
1433,2021-01-23
1434,2024-02-19
1435,2021-05-16
1436,2023-09-10
1437,2021-02-13
1438,2023-10-19
1439,2020-06-05
1440,2024-07-29
1441,2023-07-24
1442,2024-04-07
1443,2022-07-03
1444,2020-04-04
1445,2022-02-05
1446,2022-09-26
1447,2020-12-08
1448,2024-07-29
1449,2022-12-30
1450,2021-10-26
1451,2022-01-13
1452,2020-07-27
1453,2021-04-17
1454,2023-04-10
1455,2021-07-23
1456,2020-02-01
1457,2021-08-31
1458,2020-09-09
1459,2024-01-01
1460,2020-08-11
1461,2021-12-20
1462,2021-05-12
1463,2020-05-20
1464,2022-06-13
1465,2020-07-02
1466,2021-09-23
1467,2021-05-16
1468,2022-06-17
1469,2021-10-09
1470,2021-10-10
1471,2022-11-29
1472,2022-05-06
1473,2022-12-24
1474,2021-07-16
1475,2023-08-22
1476,2020-05-23
1477,2023-06-10
1478,2024-05-31
1479,2023-12-12
1480,2024-01-18
1481,2021-03-08
1482,2021-05-24
1483,2021-07-27
1484,2020-03-06
1485,2023-12-27
1486,2022-01-08
1487,2021-07-14
1488,2020-10-22
1489,2024-05-20
1490,2021-11-02
1491,2020-10-24
1492,2022-07-27
1493,2023-05-09
1494,2024-05-02
1495,2024-05-17
1496,2020-12-14
